source;target
My_LoveNebe;dwytono
detikcom;edhoaffandy
HendraGW;egoistcaptain
CNNIndonesia;tanpabotol
catuaries;danaedeanedo
kompascom;Syah_Almada
BigAlphaID;elija___
BigAlphaID;you_know_who666
BigAlphaID;rheyputation
BigAlphaID;aprilisiaa
detikfinance;Herrreza
BigAlphaID;DinarAuliaZ
idtodayco;VSIglory
My_LoveNebe;WibiantoAndreas
BigAlphaID;dioxlaide
detikcom;denys_chandra
BigAlphaID;ramarusyada
detikcom;dimasserlanggaa
detikcom;MVWulan
BigAlphaID;IhwanCho
BigAlphaID;GentOfMiracles
BigAlphaID;gitanieyoung
BigAlphaID;rhega_drdr
BigAlphaID;whatwouldaindo
BigAlphaID;wahyusriretno
BigAlphaID;malaaahayati
detikcom;hallo_meng95
detikcom;Amy_Eteek
BigAlphaID;salmanalbar22
BigAlphaID;sivanmullet
detikcom;selembung
BigAlphaID;kumisritmis
BigAlphaID;Allafuan
BigAlphaID;fidefghijk
BigAlphaID;wulbi_
BigAlphaID;jltnndy
detikcom;Awal_Kembara
olimin11;LNyawn
BigAlphaID;_dimaspmgks
detikcom;afdhaldy
detikcom;realllllkicorn
detikfinance;TheoAkwila
BigAlphaID;fiankidd
BigAlphaID;rizkygmahdi
BigAlphaID;danangsatriyono
detikfinance;Mukti_Akb
BigAlphaID;Iqbalirfanda
detikcom;andre_reinhart
BigAlphaID;diniariyanii
BigAlphaID;muhaaafif
BigAlphaID;mythaphrodite
kompasiana;Galuh748
BigAlphaID;kdedysutrawan
detikcom;nnuuurrruuull
detikcom;philiplinajj
runturambi_w;NurlelySiregar
My_LoveNebe;KangAzzev
detikcom;asrigp
catuaries;capilaalpt
detikcom;BrinoMilanista
detikfinance;endlessrania
BigAlphaID;aprizalicious
BigAlphaID;JanganlupaEdit
detikcom;dik_genPetir
detikcom;gabriellmpink
detikcom;nandafitsu
BigAlphaID;samalodeddy_
detikcom;AstieC
detikcom;mughnigofur7_
detikcom;mawar578
BigAlphaID;hunanafa
CNNIndonesia;pbb_kaltim
detikcom;AfrizaMunaf
BigAlphaID;aznw9
Shda_Agatha;wadeziigh
BigAlphaID;moccarein
detikfinance;denitaa04
BigAlphaID;MuhammadRifqi32
BigAlphaID;Chndraperdana
BigAlphaID;yunindayunus
BigAlphaID;notariantoss
detikfinance;putra8823453846
BigAlphaID;isnu
CNNIndonesia;gdesaskh
detikcom;iik_najib
BigAlphaID;krisgrashchinov
detikcom;AriMurt22141453
BigAlphaID;EzzyKenzaki
detikfinance;Maher_Zack
BigAlphaID;rayrayraynaldii
detikcom;_MRBTH_
centongsakti;LNyawn
BigAlphaID;welmove_
kumparan;putriLatcnsna
S0N_2000;S0N_2000
idtodayco;Faylasalle2
adriansyahyasin;AnindraPrt
