date;price;open;high;low
2019-12-03;3,92;3,92;3,94;3,91
2019-12-02;3,95;3,96;3,96;3,93
2019-11-29;3,93;3,86;3,95;3,84
2019-11-28;3,82;3,83;3,9;3,8
2019-11-27;3,88;3,87;3,93;3,8
2019-11-26;3,86;3,95;3,96;3,86
2019-11-25;3,95;4,07;4,07;3,94
2019-11-22;4,05;4,03;4,05;4
2019-11-21;4,02;4,05;4,09;4,02
2019-11-20;4,09;4;4,09;4
2019-11-19;4,02;4;4,02;3,97
2019-11-18;4;4,04;4,06;3,99
2019-11-15;4,08;4,08;4,09;4,03
2019-11-14;4,05;4,11;4,13;4,01
2019-11-13;4,15;4,13;4,17;4,1
2019-11-12;4,18;4,05;4,19;4,05
2019-11-11;4,1;4,04;4,12;4,04
2019-11-08;4,11;4,01;4,12;3,99
2019-11-07;4,07;4,15;4,15;3,99
2019-11-06;4,12;4,18;4,19;4,11
2019-11-05;4,2;4,17;4,2;4,13
2019-11-04;4,15;4,08;4,16;4,08
2019-11-01;4,08;4,09;4,15;4,06
2019-10-31;4,11;4,22;4,24;4,08
2019-10-30;4,27;4,29;4,35;4,21
2019-10-29;4,33;4,23;4,33;4,22
2019-10-28;4,26;4,28;4,28;4,22
2019-10-25;4,28;4,32;4,36;4,27
2019-10-24;4,35;4,3;4,35;4,25
2019-10-23;4,26;4,21;4,27;4,21
2019-10-22;4,23;4,2;4,25;4,2
2019-10-21;4,2;4,2;4,25;4,19
2019-10-18;4,19;4,17;4,19;4,16
2019-10-17;4,17;4,16;4,18;4,14
2019-10-16;4,17;4,17;4,19;4,14
2019-10-15;4,17;4,19;4,19;4,15
2019-10-14;4,19;4,2;4,21;4,15
2019-10-11;4,17;4,1;4,17;4,1
2019-10-10;4,11;4,06;4,12;4,06
2019-10-09;4,12;4,09;4,17;4,08
2019-10-08;4,09;4,17;4,17;4,06
2019-10-07;4,11;4,24;4,24;4,09
2019-10-04;4,19;4,25;4,25;4,18
2019-10-03;4,2;4,19;4,25;4,16
2019-10-02;4,2;4,26;4,3;4,19
2019-10-01;4,25;4,4;4,4;4,22
2019-09-30;4,31;4,27;4,33;4,27
2019-09-27;4,31;4,31;4,35;4,3
2019-09-26;4,36;4,22;4,37;4,2
2019-09-25;4,22;4,22;4,25;4,18
2019-09-24;4,21;4,21;4,24;4,15
2019-09-23;4,25;4,29;4,3;4,23
2019-09-20;4,29;4,25;4,3;4,23
2019-09-19;4,21;4,26;4,26;4,19
2019-09-18;4,25;4,25;4,28;4,23
2019-09-17;4,27;4,24;4,28;4,22
2019-09-16;4,22;4,16;4,26;4,16
2019-09-13;4,16;4,23;4,23;4,16
2019-09-12;4,17;4,22;4,23;4,16
2019-09-11;4,25;4,3;4,3;4,21
2019-09-10;4,27;4,3;4,3;4,25
2019-09-09;4,27;4,28;4,3;4,24
2019-09-06;4,21;4,36;4,36;4,21
2019-09-05;4,32;4,29;4,36;4,29
2019-09-04;4,29;4,31;4,35;4,28
2019-09-03;4,35;4,44;4,44;4,33
2019-09-02;4,41;4,44;4,45;4,4
2019-08-30;4,45;4,43;4,45;4,42
2019-08-29;4,38;4,37;4,44;4,37
2019-08-28;4,37;4,43;4,43;4,35
2019-08-27;4,38;4,39;4,41;4,32
2019-08-26;4,33;4,28;4,36;4,28
2019-08-23;4,38;4,39;4,45;4,34
2019-08-22;4,45;4,38;4,45;4,32
2019-08-21;4,41;4,46;4,5;4,39
2019-08-20;4,47;4,35;4,47;4,34
2019-08-19;4,34;4,34;4,34;4,29
2019-08-16;4,28;4,3;4,31;4,22
2019-08-15;4,29;4,2;4,29;4,2
2019-08-14;4,29;4,3;4,3;4,27
2019-08-13;4,25;4,29;4,29;4,23
2019-08-12;4,26;4,3;4,32;4,23
2019-08-09;4,26;4,3;4,3;4,24
2019-08-08;4,26;4,27;4,29;4,24
2019-08-07;4,21;4,23;4,27;4,17
2019-08-06;4,13;4,06;4,19;4,05
2019-08-05;4,08;4,2;4,22;4,06
2019-08-02;4,28;4,28;4,3;4,25
2019-08-01;4,28;4,3;4,3;4,26
2019-07-31;4,3;4,24;4,3;4,21
2019-07-30;4,27;4,28;4,3;4,26
2019-07-29;4,2;4,15;4,24;4,14
2019-07-26;4,16;4,16;4,21;4,11
2019-07-25;4,21;4,16;4,24;4,16
2019-07-24;4,19;4,23;4,24;4,16
2019-07-23;4,25;4,26;4,27;4,2
2019-07-22;4,26;4,25;4,27;4,23
2019-07-19;4,27;4,26;4,28;4,25
2019-07-18;4,24;4,22;4,25;4,21
2019-07-17;4,23;4,25;4,26;4,22
2019-07-16;4,24;4,24;4,28;4,21
2019-07-15;4,28;4,25;4,29;4,23
2019-07-12;4,18;4,24;4,25;4,17
2019-07-11;4,27;4,25;4,28;4,24
2019-07-10;4,29;4,31;4,32;4,26
2019-07-09;4,35;4,3;4,37;4,27
2019-07-08;4,27;4,23;4,29;4,21
2019-07-05;4,28;4,26;4,28;4,24
2019-07-04;4,25;4,19;4,26;4,19
2019-07-03;4,24;4,16;4,24;4,16
2019-07-02;4,25;4,24;4,25;4,18
2019-07-01;4,22;4,2;4,24;4,17
2019-06-28;4,14;4,1;4,2;4,09
2019-06-27;4,09;4,01;4,12;4
2019-06-26;3,98;4,02;4,05;3,98
2019-06-25;4,01;4,04;4,04;4
2019-06-24;3,98;4,05;4,05;3,97
2019-06-21;4,04;4,01;4,04;3,95
2019-06-20;4,04;4,11;4,11;4,02
2019-06-19;4,1;4,02;4,12;4,02
2019-06-18;3,98;3,89;3,99;3,89
2019-06-17;3,9;3,95;3,97;3,9
2019-06-14;3,99;4,02;4,05;3,97
2019-06-13;3,99;3,94;3,99;3,9
2019-06-12;3,94;3,88;3,95;3,84
2019-06-11;4,02;4,01;4,06;4
2019-06-10;4,04;4;4,06;3,97
2019-05-31;3,9;3,78;3,93;3,78
2019-05-29;3,78;3,75;3,83;3,73
2019-05-28;3,69;3,8;3,82;3,69
2019-05-27;3,82;3,76;3,83;3,75
2019-05-24;3,75;3,7;3,78;3,69
2019-05-23;3,66;3,54;3,69;3,54
2019-05-22;3,54;3,59;3,6;3,54
2019-05-21;3,6;3,6;3,63;3,55
2019-05-20;3,6;3,52;3,62;3,48
2019-05-17;3,51;3,61;3,62;3,5
2019-05-16;3,6;3,66;3,72;3,53
2019-05-15;3,66;3,77;3,79;3,66
2019-05-14;3,76;3,73;3,8;3,72
2019-05-13;3,77;3,82;3,84;3,76
2019-05-10;3,79;3,8;3,84;3,79
2019-05-09;3,8;3,86;3,9;3,8
2019-05-08;3,9;3,89;3,92;3,87
2019-05-07;3,9;3,87;3,91;3,84
2019-05-06;3,84;3,76;3,84;3,72
2019-05-03;3,82;3,8;3,83;3,76
2019-05-02;3,83;3,76;3,88;3,76
2019-04-30;3,79;3,89;3,89;3,75
2019-04-29;3,86;3,85;3,9;3,85
2019-04-26;3,91;3,8;3,91;3,8
2019-04-25;3,83;3,8;3,84;3,79
2019-04-24;3,84;3,85;3,86;3,78
2019-04-23;3,85;3,78;3,87;3,73
2019-04-22;3,78;3,86;3,86;3,78
2019-04-18;3,86;3,92;3,95;3,84
2019-04-16;3,87;3,83;3,88;3,83
2019-04-15;3,83;3,86;3,86;3,81
2019-04-12;3,83;3,82;3,87;3,81
2019-04-11;3,87;3,9;3,93;3,87
2019-04-10;3,95;3,92;3,95;3,89
2019-04-09;3,97;3,98;4;3,91
2019-04-08;3,98;4,02;4,03;3,94
2019-04-05;4,05;4,02;4,09;4
2019-04-04;4,04;3,98;4,04;3,95
2019-04-02;3,95;3,91;3,95;3,91
2019-04-01;3,93;3,95;3,96;3,9
